file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
zhangle_question_002,0.0,2.4,learner,-57.60366617838542,-59.26784168590199,3.5153844893665607,11.392071877169652
zhangle_question_009,0.0,3.3,learner,-54.049562026515154,-57.090981801350914,2.668497235394199,12.742323340504656
zhangle_question_008,0.0,3.42,learner,-57.19820221125731,-61.80042266845703,2.400587661415625,10.831750071158888
zhangle_question_006,0.0,3.18,learner,-54.5363662047956,-56.31203969319662,1.8628862535821045,13.038409622112415
zhangle_question_010,0.0,3.48,learner,-55.4537704292385,-57.96747608184815,1.8274830728413551,13.112288800139938
zhangle_question_004,0.0,2.94,learner,-56.72720689838435,-62.37093263513901,1.4677443907594367,11.336165742611279
zhangle_question_005,0.0,3.0,learner,-57.71776692708333,-61.00454330444336,1.3939911214620606,11.674267507653102
zhangle_question_007,0.0,2.82,learner,-53.251572196365245,-56.16937494277954,1.221571063535914,13.916823654474983
zhangle_question_003,0.0,2.64,learner,-52.80806107954545,-57.14342816670736,1.120897058281023,12.136790962244845
zhangle_question_001,0.0,1.32,learner,-52.18060487689394,-59.35119438171387,1.1208970215718597,14.17364199191313
