utt_id,tier,label,start,end,duration
u1_l1_001,words,,0.0,0.36,0.36
u1_l1_001,words,bula,0.36,0.92,0.56
u1_l1_001,words,,0.92,1.974938,1.054938
u1_l1_002,words,,0.0,0.32,0.32
u1_l1_002,words,bula,0.32,0.93,0.6100000000000001
u1_l1_002,words,,0.93,1.496188,0.566188
u1_l1_003,words,,0.0,0.44,0.44
u1_l1_003,words,e,0.44,0.64,0.2
u1_l1_003,words,dua,0.64,0.98,0.33999999999999997
u1_l1_003,words,na,0.98,1.19,0.20999999999999996
u1_l1_003,words,yalewa,1.19,1.97,0.78
u1_l1_003,words,,1.97,2.513562,0.5435619999999999
u1_l1_004,words,,0.0,0.25,0.25
u1_l1_004,words,e,0.25,0.37,0.12
u1_l1_004,words,dua,0.37,0.82,0.44999999999999996
u1_l1_004,words,na,0.82,1.02,0.20000000000000007
u1_l1_004,words,,1.02,1.13,0.10999999999999988
u1_l1_004,words,tagane,1.13,1.7,0.5700000000000001
u1_l1_004,words,,1.7,2.214313,0.5143130000000002
u1_l1_005,words,,0.0,0.35,0.35
u1_l1_005,words,e,0.35,0.55,0.20000000000000007
u1_l1_005,words,dua,0.55,0.88,0.32999999999999996
u1_l1_005,words,na,0.88,1.07,0.19000000000000006
u1_l1_005,words,tagane,1.07,1.76,0.69
u1_l1_005,words,,1.76,2.573437,0.8134370000000002
u1_l1_006,words,,0.0,0.3,0.3
u1_l1_006,words,e,0.3,0.4,0.10000000000000003
u1_l1_006,words,dua,0.4,0.82,0.41999999999999993
u1_l1_006,words,na,0.82,1.04,0.22000000000000008
u1_l1_006,words,yalewa,1.04,1.79,0.75
u1_l1_006,words,,1.79,2.45375,0.6637499999999998
u1_l1_007,words,,0.0,0.3,0.3
u1_l1_007,words,e,0.3,0.43,0.13
u1_l1_007,words,cici,0.43,0.78,0.35000000000000003
u1_l1_007,words,tiko,0.78,1.19,0.4099999999999999
u1_l1_007,words,na,1.19,1.35,0.16000000000000014
u1_l1_007,words,tagane,1.35,2.0,0.6499999999999999
u1_l1_007,words,,2.0,2.812813,0.8128129999999998
u1_l1_008,words,,0.0,0.31,0.31
u1_l1_008,words,e,0.31,0.38,0.07
u1_l1_008,words,taubale,0.38,1.04,0.66
u1_l1_008,words,tiko,1.04,1.43,0.3899999999999999
u1_l1_008,words,na,1.43,1.58,0.15000000000000013
u1_l1_008,words,tagane,1.58,2.21,0.6299999999999999
u1_l1_008,words,,2.21,3.052188,0.8421880000000002
u1_l1_009,words,,0.0,0.4,0.4
u1_l1_009,words,e,0.4,0.47,0.06999999999999995
u1_l1_009,words,taubale,0.47,1.16,0.69
u1_l1_009,words,tiko,1.16,1.58,0.42000000000000015
u1_l1_009,words,na,1.58,1.91,0.32999999999999985
u1_l1_009,words,yalewa,1.91,2.45,0.5400000000000003
u1_l1_009,words,,2.45,2.992313,0.5423129999999996
u1_l1_010,words,,0.0,0.65,0.65
u1_l1_010,words,e,0.65,0.77,0.12
