file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
luoyumeng2_question_009,0.0,2.7,learner,-59.659396701388886,-61.49306367572985,3.335094254960688,11.474643029281419
luoyumeng2_question_006,0.0,2.28,learner,-58.82437722724781,-59.51776303743061,2.6433122853975064,11.866592570635099
luoyumeng2_question_004,0.0,2.76,learner,-53.07624617866848,-59.60946610394646,2.546666699139193,12.461715516404224
luoyumeng2_question_005,0.0,2.76,learner,-57.53587451879529,-59.25487176995529,1.966212029622369,9.156634015524686
luoyumeng2_question_008,0.0,3.24,learner,-55.49344738618827,-58.551344916934056,1.9583728159376284,12.204104854185044
luoyumeng2_question_010,0.0,2.46,learner,-60.0601379890752,-59.89812632969448,1.8914646890298685,5.817246576103685
luoyumeng2_question_007,0.0,2.7,learner,-54.39432146990741,-55.81186361873851,1.778367471345341,14.355524609317012
luoyumeng2_question_002,0.0,2.34,learner,-52.82831697382478,-56.85219351450602,1.1388134235608298,15.191947110281932
luoyumeng2_question_003,0.0,2.64,learner,-54.89963230942235,-61.68390973409017,1.12631487415967,14.066549350999118
luoyumeng2_question_001,0.0,2.1,learner,-47.56634579613095,-58.06409168243408,0.8347283405336591,18.245606566627455
