file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
guoziyu_question_002,0.0,3.6,learner,-53.68779296875,-57.85129006703695,2.596662873508719,17.96946939970283
guoziyu_question_003,0.0,3.24,learner,-53.091055410879626,-61.37592061360677,2.412441360439296,19.274968809856894
guoziyu_question_009,0.0,4.14,learner,-50.42206370772947,-54.9691296627647,2.299145252204278,12.688528505473021
guoziyu_question_010,0.0,4.08,learner,-51.6540096507353,-56.53982398623512,1.9666863402657788,14.719561325504273
guoziyu_question_004,0.0,4.08,learner,-53.409447763480394,-63.71063636330997,1.9466210976243934,7.81818196210693
guoziyu_question_006,0.0,4.2,learner,-49.04579148065476,-56.05100591559159,1.6815852445056405,11.700753080574637
guoziyu_question_008,0.0,3.96,learner,-54.617019807449495,-61.08050173804874,1.5296200958317565,9.672984104229636
guoziyu_question_001,0.0,2.7,learner,-43.068952546296295,-61.41648578643799,1.4411512477720336,18.494753934064196
guoziyu_question_007,0.0,3.36,learner,-54.56566220238095,-64.46459848740521,1.407251054997768,8.170644702711911
guoziyu_question_005,0.0,4.38,learner,-49.16873573059361,-57.81749323794716,0.9428158333683072,13.245050446479421
