file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
luoyumeng_question_005,0.0,3.96,learner,-49.023610124684346,-60.44772479408666,2.921413340451455,16.000402183510182
luoyumeng_question_007,0.0,2.46,learner,-56.161259845020325,-61.681198344511145,2.407743214995199,13.351343404665862
luoyumeng_question_006,0.0,2.76,learner,-51.094892861186594,-54.412500281082956,2.2302160385891487,14.591608620595228
luoyumeng_question_004,0.0,2.34,learner,-60.81174879807692,-64.05008091646083,1.8110160706949927,8.25801797421133
luoyumeng_question_010,0.0,2.52,learner,-54.65893942212302,-54.18426186697824,1.4488161874302492,11.579932444883529
luoyumeng_question_003,0.0,2.1,learner,-54.581566220238095,-57.01577536265055,1.382779113764084,11.777160285018343
luoyumeng_question_002,0.0,1.92,learner,-50.222503662109375,-50.58981895446777,1.2964711116819567,14.964525212962497
luoyumeng_question_008,0.0,2.82,learner,-55.732176002881204,-56.926917303176154,1.2964678982375417,10.728040459705266
luoyumeng_question_009,0.0,2.46,learner,-57.494442327235774,-57.233863027472246,1.154700538379252,10.557644484884435
luoyumeng_question_001,0.0,1.38,learner,-50.657286713088766,-58.99996089935303,1.1547005383775422,14.175429635486147
