file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
xuhaiyue_question_003,0.0,4.32,learner,-43.61107042100694,-53.68753178914388,2.521292570306525,18.958711737498145
xuhaiyue_question_008,0.0,3.6,learner,-52.02484266493055,-53.62432498023624,2.4530531394230883,9.154820273181262
xuhaiyue_question_010,0.0,3.24,learner,-52.099512924382715,-55.40071723574684,2.220822600173091,17.74637220801105
xuhaiyue_question_006,0.0,3.9,learner,-47.62707832532051,-52.96685891402395,2.015504058464771,15.066246134849258
xuhaiyue_question_007,0.0,3.3,learner,-50.43441051136364,-55.00598054773667,1.9882681581902997,16.748245418329926
xuhaiyue_question_001,0.0,2.58,learner,-44.77223382994186,-56.05219650268555,1.9535464100005817,18.12894039077971
xuhaiyue_question_004,0.0,3.66,learner,-48.10483371755465,-54.44666021010455,1.8469986395336406,13.617402384945043
xuhaiyue_question_009,0.0,3.6,learner,-45.50924750434028,-49.822277671412415,1.4362646189528958,13.07949438936474
xuhaiyue_question_002,0.0,3.18,learner,-48.175738256682386,-54.806063652038574,1.1159684138910013,16.83818746293468
xuhaiyue_question_005,0.0,3.78,learner,-48.744321469907405,-53.471294804623255,1.09755275605894,14.660748173008594
