sentence_id,snr,src,noisy_path
u1_l1_004,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_004.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_004.wav
u1_l1_004,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_004.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_004.wav
u1_l1_004,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_004.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_004.wav
u1_l1_004,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_004.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_004.wav
u1_l1_005,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_005.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_005.wav
u1_l1_005,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_005.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_005.wav
u1_l1_005,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_005.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_005.wav
u1_l1_005,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_005.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_005.wav
u1_l1_012,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_012.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_012.wav
u1_l1_012,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_012.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_012.wav
