file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
zengjianbin_question_002,0.0,3.96,learner,-48.0993775647096,-52.70060380299886,3.692874216154033,20.6841416429638
zengjianbin_question_001,0.0,2.52,learner,-51.201388888888886,-56.09131050109863,2.9566929438716545,15.343288995919973
zengjianbin_question_005,0.0,3.6,learner,-52.723095703125,-56.301978061073704,2.75795561928212,9.881814000491254
zengjianbin_question_004,0.0,3.96,learner,-50.61774483112374,-57.803387361414295,2.5780884658421517,16.32337078881493
zengjianbin_question_008,0.0,4.14,learner,-47.28505717844203,-53.412367866152806,1.8156849288697332,15.883710748469197
zengjianbin_question_009,0.0,3.72,learner,-50.368227066532256,-55.132344697651114,1.7924123980488542,14.04444419617123
zengjianbin_question_003,0.0,3.78,learner,-47.05085358796296,-54.358604749043785,1.6595846891956967,19.791345104807583
zengjianbin_question_010,0.0,3.9,learner,-47.90758213141026,-52.39931251889183,1.4598864464450119,17.918700502611927
zengjianbin_question_006,0.0,4.02,learner,-47.483753109452735,-52.48801141036184,1.4389799847323115,17.79861287121029
zengjianbin_question_007,0.0,3.84,learner,-46.23062642415365,-53.36130119772518,1.2094883321544854,15.838737580751687
